rain,from,to,count
1,astoria-long island city,LGA,1
1,little italy,lower east side,1
1,gramercy,greenwich village,2
1,upper east side,upper west side,1
1,murray hill,upper west side,1
1,yorkville,garment district,1
1,east village,astoria-long island city,2
1,upper east side,Auburndale,1
1,gramercy,lower east side,1
1,clinton,yorkville,1
1,upper east side,carnegie hill,1
1,clinton,chelsea,3
1,garment district,maspeth,1
1,carroll gardens,bedford-stuyvesant,1
1,williamsburg,bedford-stuyvesant,2
1,financial district,tribeca,1
1,washington heights,LGA,1
1,soho,utopia,1
1,upper east side,LGA,3
1,chelsea,washington heights,2
1,midtown,new brighten,1
1,lower east side,country club,1
1,upper west side,east village,1
1,soho,east village,1
1,lower east side,east village,7
1,west village,battery park,1
1,murray hill,clinton,1
1,east village,ridgewood,1
1,lower east side,morningside heights,2
1,lower east side,murray hill,1
1,greenwich village,astoria-long island city,1
1,tribeca,gramercy,1
1,tribeca,south bronx,1
1,bushwick,bushwick,1
1,murray hill,hamilton heights,1
1,chinatown,greenwich village,1
1,greenwich village,east village,6
1,clinton,williamsburg,1
1,garment district,washington heights,1
1,upper east side,greenwich village,1
1,greenwich village,bedford-stuyvesant,5
1,little italy,fort green,1
1,east village,upper east side,8
1,east village,chelsea,1
1,clinton,JFK,1
1,upper west side,chelsea,2
1,williamsburg,williamsburg,5
1,chelsea,forest hills,1
1,gramercy,garment district,4
1,astoria-long island city,woodside,2
1,upper east side,murray hill,2
1,financial district,murray hill,1
1,north sutton area,JFK,1
1,east village,fort green,1
1,midtown,lower east side,2
1,chinatown,gramercy,1
1,chinatown,bushwick,1
1,gramercy,sunny side,3
1,little italy,chelsea,3
1,clinton,upper east side,3
1,gramercy,LGA,1
1,garment district,chelsea,2
1,greenwich village,financial district,1
1,upper east side,bushwick,1
1,lower east side,lower east side,4
1,garment district,morningside heights,2
1,midtown,garment district,7
1,fort green,astoria-long island city,1
1,sunny side,middle village,1
1,chelsea,bushwick,2
1,upper west side,gramercy,1
1,upper west side,carnegie hill,2
1,east village,harlem,1
1,murray hill,morris park,1
1,astoria-long island city,jackson height,2
1,garment district,yorkville,1
1,chelsea,upper east side,8
1,murray hill,LGA,2
1,tribeca,upper west side,1
1,chelsea,ridgewood,1
1,chelsea,murray hill,3
1,east village,borough park,2
1,clinton,south bronx,1
1,little italy,soho,3
1,clinton,upper west side,4
1,chinatown,LGA,1
1,east village,north sutton area,1
1,east village,greenwich village,4
1,murray hill,gramercy,1
1,chelsea,west village,3
1,greenwich village,upper west side,6
1,chelsea,chelsea,12
1,tribeca,north sutton area,1
1,bedford-stuyvesant,bedford-stuyvesant,1
1,lower east side,sunset park,1
1,garment district,gramercy,4
1,soho,north sutton area,1
1,sunny side,astoria-long island city,1
1,east village,midtown,8
1,chelsea,todt hill,1
1,yorkville,harlem,1
1,west village,clinton,3
1,north sutton area,gramercy,1
1,williamsburg,bushwick,4
1,chelsea,gramercy,9
1,east village,bedford-stuyvesant,6
1,west village,murray hill,2
1,east village,tribeca,2
1,gramercy,jackson height,2
1,lower east side,hamilton heights,1
1,upper east side,gramercy,2
1,financial district,borough park,1
1,lower east side,fort green,6
1,carroll gardens,kwq gardens,1
1,greenwich village,park slope,1
1,garment district,bay ridge,1
1,greenwich village,upper east side,6
1,little italy,gramercy,1
1,upper east side,astoria-long island city,3
1,williamsburg,east village,1
1,greenwich village,gramercy,7
1,lower east side,east harlem,1
1,financial district,LGA,1
1,tribeca,upper east side,1
1,greenwich village,west village,1
1,clinton,east village,2
1,garment district,east village,2
1,chelsea,battery park,1
1,upper east side,sunny side,1
1,woodside,sunny side,2
1,east village,williamsburg,5
1,murray hill,borough park,1
1,clinton,clinton,5
1,midtown,astoria-long island city,5
1,west village,gramercy,3
1,greenwich village,LGA,3
1,midtown,JFK,3
1,tribeca,tribeca,2
1,fort green,greenwich village,1
1,little italy,greenwich village,2
1,chelsea,midtown,11
1,financial district,upper east side,2
1,gramercy,little italy,1
1,garment district,carroll gardens,1
1,garment district,clinton,4
1,chelsea,hamilton heights,1
1,woodside,JFK,1
1,tribeca,bedford-stuyvesant,1
1,midtown,little italy,1
1,west village,financial district,1
1,jackson height,jackson height,2
1,little italy,east village,1
1,garment district,brownsville,1
1,garment district,bushwick,1
1,upper west side,JFK,1
1,financial district,gravesend-sheepshead bay,1
1,midtown,morningside heights,2
1,clinton,forest hills,1
1,midtown,central park,2
1,garment district,sunny side,2
1,soho,midtown,1
1,gramercy,brooklyn-downtown,1
1,lower east side,west village,1
1,gramercy,gravesend-sheepshead bay,1
1,lower east side,chelsea,2
1,bay ridge,high bridge,1
1,midtown,hamilton heights,1
1,harlem,hamilton heights,1
1,clinton,midtown,6
1,astoria-long island city,astoria-long island city,7
1,garment district,astoria-long island city,2
1,upper west side,morningside heights,3
1,murray hill,midtown,3
1,greenwich village,williamsburg,1
1,upper east side,hamilton heights,1
1,upper east side,midtown,3
1,lower east side,astoria-long island city,2
1,west village,mapleton-flatlands,2
1,west village,astoria-long island city,2
1,murray hill,murray hill,1
1,greenwich village,clinton,3
1,little italy,tribeca,1
1,chelsea,cobble hill,1
1,murray hill,JFK,1
1,lower east side,greenwich village,6
1,JFK,springfield gardens,1
1,midtown,greenwich village,3
1,west village,soho,3
1,gramercy,east village,8
1,brooklyn-downtown,clifton,1
1,sunny side,jackson height,1
1,astoria-long island city,mott haven,1
1,west village,midtown,6
1,financial district,bushwick,1
1,financial district,williamsburg,2
1,gramercy,west village,3
1,garment district,fort green,2
1,midtown,upper west side,6
1,upper west side,astoria-long island city,1
1,clinton,gramercy,3
1,east village,upper west side,4
1,greenwich village,yorkville,1
1,greenwich village,washington heights,1
1,bensonhurst,bensonhurst,1
1,bushwick,williamsburg,1
1,lower east side,mapleton-flatlands,1
1,east village,east village,5
1,chelsea,harlem,4
1,fort green,fort green,1
1,williamsburg,bensonhurst,1
1,greenwich village,murray hill,1
1,chelsea,morningside heights,1
1,west village,lower east side,2
1,upper east side,garment district,1
1,high bridge,maspeth,1
1,soho,upper east side,1
1,tribeca,cobble hill,1
1,greenwich village,lower east side,4
1,astoria-long island city,gramercy,1
1,fort green,fordham,1
1,clinton,astoria-long island city,3
1,bedford-stuyvesant,brooklyn-downtown,1
1,upper west side,upper west side,3
1,west village,harlem,1
1,murray hill,williamsburg,1
1,chelsea,riverdale,1
1,midtown,williamsburg,1
1,midtown,carnegie hill,1
1,midtown,harlem,5
1,tribeca,battery park,1
1,park slope,JFK,1
1,upper west side,hamilton heights,3
1,clinton,lower east side,3
1,east village,east harlem,1
1,little italy,midtown,1
1,morningside heights,hamilton heights,1
1,tribeca,east village,1
