1,chelsea,little italy,4
1,LGA,carroll gardens,1
1,JFK,mapleton-flatlands,3
1,lower east side,bushwick,2
1,LGA,kings bridge,2
1,LGA,bushwick,1
1,upper west side,sunset park,1
1,greenwich village,upper east side,19
1,midtown,boerum hill,2
1,chelsea,astoria-long island city,4
1,upper east side,astoria-long island city,6
1,harlem,upper west side,11
1,gramercy,bushwick,4
1,williamsburg,east village,1
1,midtown,park slope,1
1,clinton,battery park,5
1,greenwich village,gramercy,39
1,carroll gardens,carnegie hill,1
1,gramercy,central park,5
1,east village,battery park,1
1,upper west side,east harlem,4
1,upper west side,harlem,13
1,upper west side,tribeca,10
1,JFK,tribeca,4
1,carnegie hill,midtown,35
1,midtown,chinatown,2
1,garment district,carroll gardens,1
1,financial district,LGA,8
1,battery park,upper east side,6
1,LGA,clinton,11
1,tribeca,upper east side,3
1,murray hill,upper east side,36
1,greenwich village,west village,17
1,gramercy,financial district,35
1,jackson height,astoria-long island city,2
1,greenwich village,north sutton area,1
1,greenwich village,lower east side,6
1,fort green,bedford-stuyvesant,1
1,financial district,sunset park,1
1,JFK,astoria-long island city,3
1,yorkville,brooklyn-downtown,1
1,upper east side,sunny side,2
1,murray hill,washington heights,2
1,harlem,washington heights,2
1,lower east side,garment district,7
1,upper west side,garment district,28
1,east village,williamsburg,5
1,yorkville,upper east side,29
1,upper west side,yorkville,19
1,soho,soho,8
1,carnegie hill,upper east side,71
1,upper east side,middle village,1
1,chelsea,greenwich village,47
1,east village,soho,13
1,east harlem,carnegie hill,2
1,chinatown,soho,1
1,tribeca,LGA,4
1,chinatown,tribeca,1
1,garment district,kings bridge,1
1,central park,gramercy,2
1,cobble hill,park slope,1
1,west village,fordham,1
1,flushing,kwq gardens,1
1,greenwich village,LGA,4
1,JFK,park slope,3
1,greenwich village,chelsea,48
1,LGA,morningside heights,1
1,north sutton area,JFK,1
1,chelsea,chinatown,1
1,washington heights,upper west side,2
1,little italy,financial district,1
1,tribeca,mapleton-flatlands,1
1,JFK,midtown,38
1,little italy,upper east side,2
1,chinatown,astoria-long island city,1
1,brooklyn-downtown,battery park,2
1,fort green,chelsea,1
1,woodside,upper west side,1
1,harlem,east harlem,5
1,carnegie hill,soho,1
1,upper west side,forest hills,1
1,woodside,midtown,1
1,LGA,university heights,2
1,yorkville,LGA,1
1,gramercy,east harlem,1
1,battery park,battery park,6
1,JFK,little neck,1
1,upper west side,parkchester,1
1,jackson height,sunny side,1
1,battery park,tribeca,15
1,garment district,soho,14
1,high bridge,mott haven,1
1,garment district,LGA,4
1,central park,harlem,4
1,upper east side,upper west side,129
1,greenwich village,financial district,12
1,morningside heights,central park,2
1,yorkville,murray hill,1
1,greenwich village,battery park,13
1,east village,bushwick,7
1,upper east side,north sutton area,30
1,west village,brooklyn-downtown,1
1,jackson height,yorkville,1
1,east village,sunny side,1
1,west village,greenwich village,12
1,midtown,soho,23
1,upper east side,central park,22
1,LGA,flushing,2
1,north sutton area,murray hill,12
1,soho,upper east side,3
1,lower east side,chinatown,2
1,lower east side,williamsburg,8
1,central park,murray hill,3
1,JFK,woodhaven-richmond hill,1
1,LGA,throggs neck,1
1,boerum hill,brooklyn-downtown,1
1,harlem,chelsea,2
1,williamsburg,clinton,1
1,west village,fort green,1
1,gramercy,west village,11
1,carnegie hill,clinton,1
1,clinton,riverdale,1
1,east village,LGA,6
1,lower east side,financial district,8
1,boerum hill,williamsburg,1
1,garment district,park slope,1
1,soho,financial district,15
1,park slope,west village,1
