rain,from,to,count
1,LGA,morningside heights,3
1,north sutton area,JFK,1
1,chelsea,chinatown,2
1,chelsea,LGA,1
1,little italy,financial district,7
1,JFK,midtown,34
1,little italy,upper east side,3
1,soho,morningside heights,1
1,harlem,east harlem,6
1,murray hill,east harlem,1
1,JFK,spuyten duyvil,1
1,sunny side,woodside,1
1,upper east side,high bridge,1
1,battery park,battery park,6
1,LGA,tribeca,1
1,upper west side,williamsburg,1
1,battery park,tribeca,16
1,garment district,soho,4
1,JFK,high bridge,1
1,central park,harlem,2
1,maspeth,garment district,1
1,chinatown,murray hill,2
1,east village,brooklyn-downtown,1
1,fort green,bedford-stuyvesant,2
1,yorkville,murray hill,1
1,central park,astoria-long island city,1
1,gramercy,clinton,26
1,east village,bushwick,1
1,upper east side,north sutton area,24
1,financial district,sunny side,1
1,west village,brooklyn-downtown,1
1,yorkville,lower east side,2
1,west village,greenwich village,31
1,fort green,tribeca,3
1,midtown,soho,17
1,upper east side,central park,14
1,little italy,kwq gardens,1
1,north sutton area,murray hill,8
1,soho,upper east side,7
1,lower east side,williamsburg,10
1,central park,murray hill,3
1,yorkville,woodside,1
1,murray hill,JFK,1
1,harlem,gramercy,1
1,west village,fort green,2
1,gramercy,west village,34
1,carnegie hill,clinton,2
1,lower east side,financial district,10
1,east harlem,gramercy,2
1,soho,financial district,10
1,upper west side,morris heights,1
1,brooklyn-downtown,east village,2
1,boerum hill,park slope,2
1,harlem,yorkville,1
1,gramercy,tribeca,11
1,lower east side,clinton,3
1,garment district,greenwich village,27
1,murray hill,carnegie hill,2
1,midtown,mott haven,1
1,financial district,cobble hill,1
1,soho,sunny side,1
1,north sutton area,tribeca,1
1,little italy,garment district,5
1,west village,williamsburg,2
1,upper east side,upper east side,472
1,little italy,murray hill,4
1,astoria-long island city,sunny side,2
1,boerum hill,fort green,1
1,east village,clinton,6
1,east village,yorkville,2
1,LGA,washington heights,1
1,soho,lower east side,19
1,upper east side,forest hills,4
1,upper east side,yorkville,24
1,upper west side,upper east side,125
1,upper east side,cobble hill,2
1,upper east side,mott haven,1
1,battery park,west village,9
1,battery park,upper east side,2
1,hamilton heights,yorkville,1
1,east village,lower east side,42
1,garment district,JFK,4
1,north sutton area,east village,2
1,murray hill,central park,3
1,harlem,harlem,18
1,financial district,battery park,17
1,upper east side,JFK,6
1,north sutton area,west village,6
1,JFK,astoria-long island city,4
1,LGA,forest hills,2
1,carnegie hill,east village,3
1,tribeca,williamsburg,2
1,cobble hill,west village,1
1,hamilton heights,harlem,7
1,garment district,financial district,6
1,LGA,mapleton-flatlands,1
1,clinton,sunny side,2
1,JFK,clinton,3
1,astoria-long island city,upper west side,2
1,harlem,central park,2
1,williamsburg,chelsea,1
1,clinton,east harlem,1
1,upper west side,LGA,1
1,financial district,chelsea,22
1,soho,williamsburg,4
1,carnegie hill,yorkville,1
1,morningside heights,lower east side,1
1,chelsea,williamsburg,7
1,chelsea,soho,12
1,williamsburg,midtown,1
1,greenwich village,clinton,14
1,east village,chinatown,4
1,borough park,boerum hill,1
1,yorkville,east harlem,6
1,JFK,inwood,1
1,west village,gramercy,25
1,upper west side,parkchester,1
1,east village,astoria-long island city,2
1,harlem,west village,1
1,upper east side,east village,31
1,gramercy,williamsburg,1
1,west village,upper west side,19
1,central park,carnegie hill,3
1,chelsea,bedford-stuyvesant,2
1,gramercy,bedford-stuyvesant,2
1,midtown,upper east side,180
1,little italy,little italy,5
1,battery park,clinton,4
1,park slope,bedford-stuyvesant,1
1,carnegie hill,greenwich village,1
1,greenwich village,central park,2
1,soho,chinatown,3
1,park slope,park slope,4
1,soho,chelsea,33
1,LGA,garment district,6
1,LGA,brooklyn-downtown,1
1,mott haven,mott haven,2
1,chelsea,battery park,4
1,JFK,bedford-stuyvesant,2
1,financial district,chinatown,4
1,greenwich village,fort green,4
1,battery park,upper west side,4
1,little italy,jackson height,1
1,JFK,washington heights,1
1,midtown,lower east side,21
1,chelsea,upper west side,33
1,west village,upper east side,10
1,greenwich village,tribeca,19
1,JFK,bay ridge,1
1,yorkville,chelsea,3
1,gramercy,harlem,3
1,murray hill,harlem,1
1,midtown,west village,49
1,gramercy,upper west side,37
1,clinton,brooklyn-downtown,1
1,garment district,central park,7
1,north sutton area,clinton,2
1,midtown,LGA,2
1,morningside heights,upper west side,8
1,midtown,chelsea,95
1,upper west side,utopia,1
1,garment district,upper west side,25
1,north sutton area,chinatown,1
1,chelsea,maspeth,1
1,upper west side,washington heights,14
1,greewood,carroll gardens,1
1,upper west side,murray hill,8
1,chelsea,central park,2
1,upper east side,midtown,267
1,financial district,mott haven,1
1,LGA,battery park,1
1,greenwich village,battery park,2
1,east village,financial district,9
1,midtown,wakefield-williamsbridge,1
1,midtown,boerum hill,2
1,gramercy,upper east side,49
1,murray hill,morningside heights,1
1,LGA,country club,2
1,clinton,soho,6
1,upper west side,sunny side,4
1,tribeca,west village,16
1,north sutton area,carnegie hill,1
1,upper east side,washington heights,2
1,tribeca,east village,9
1,tribeca,soho,10
1,little italy,brooklyn-downtown,1
1,north sutton area,fort green,1
1,murray hill,west village,10
1,JFK,little italy,1
1,garment district,carnegie hill,3
1,jackson height,upper east side,1
1,north sutton area,brooklyn-downtown,1
1,clinton,lower east side,6
1,morningside heights,hamilton heights,1
1,upper west side,hamilton heights,12
1,financial district,park slope,3
1,carroll gardens,cobble hill,1
1,lower east side,east harlem,2
1,midtown,carnegie hill,6
1,greenwich village,JFK,1
1,astoria-long island city,murray hill,1
1,upper west side,central park,23
1,chinatown,bedford-stuyvesant,3
1,sunset park,greewood,1
1,borough park,fort green,1
1,LGA,inwood,1
1,murray hill,williamsburg,1
1,upper east side,hunts point,1
1,upper east side,woodside,2
1,north sutton area,astoria-long island city,1
1,lower east side,bensonhurst,1
1,morningside heights,clinton,1
1,yorkville,midtown,9
1,west village,harlem,1
1,LGA,hamilton heights,2
1,upper west side,upper west side,414
1,astoria-long island city,west village,1
1,LGA,murray hill,4
1,JFK,garment district,11
1,LGA,east village,2
1,JFK,upper west side,7
1,lower east side,brooklyn-downtown,1
1,upper east side,ridgewood,1
1,harlem,morningside heights,6
1,clinton,hamilton heights,1
1,battery park,east village,8
1,garment district,murray hill,30
1,boerum hill,west village,1
1,battery park,midtown,5
1,gramercy,financial district,14
1,financial district,west village,14
1,upper west side,little italy,3
1,clinton,LGA,1
1,murray hill,flushing,1
1,north sutton area,midtown,28
1,garment district,east village,23
1,LGA,clinton,13
1,kings bridge,kings bridge,3
1,LGA,east brooklyn,1
1,east village,garment district,23
1,central park,midtown,26
1,murray hill,midtown,85
1,upper east side,garment district,52
1,west village,lower east side,8
1,chelsea,morningside heights,3
1,east harlem,east harlem,8
1,financial district,clinton,8
1,greenwich village,murray hill,7
1,fort green,fort green,5
1,chelsea,harlem,3
1,LGA,east harlem,2
1,central park,yorkville,3
1,east village,east village,65
1,upper east side,jackson height,2
1,midtown,cobble hill,2
1,gramercy,park slope,2
1,LGA,parkchester,1
1,morningside heights,sunny side,1
1,williamsburg,maspeth,1
1,fort green,dyker heights,1
1,utopia,midtown,1
1,chelsea,carnegie hill,2
1,jamaica,clinton,1
1,brooklyn-downtown,fort green,3
1,east harlem,mott haven,1
1,financial district,murray hill,5
1,midtown,harlem,7
1,battery park,lower east side,3
1,east harlem,harlem,5
1,woodside,jackson height,1
1,battery park,chinatown,4
1,clinton,wakefield-williamsbridge,1
1,midtown,williamsburg,5
1,upper east side,lower east side,20
1,west village,park slope,1
1,williamsburg,williamsburg,10
1,upper west side,astoria-long island city,2
1,greenwich village,carnegie hill,1
1,morningside heights,yorkville,2
1,murray hill,chelsea,24
1,washington heights,central park,1
1,midtown,upper west side,203
1,garment district,west village,16
1,midtown,yorkville,9
1,financial district,williamsburg,1
1,williamsburg,lower east side,2
1,central park,west village,1
1,east harlem,upper west side,2
1,JFK,upper east side,13
1,JFK,jackson height,2
1,west village,midtown,39
1,boerum hill,bedford-stuyvesant,1
1,carnegie hill,gramercy,4
1,upper east side,battery park,1
1,greenwich village,sunny side,1
1,upper east side,morris park,1
1,gramercy,east village,99
1,financial district,fort green,2
1,clinton,harlem,5
1,clinton,little italy,1
1,soho,little italy,5
1,carnegie hill,east harlem,2
1,chelsea,bay ridge,1
1,central park,spuyten duyvil,1
1,financial district,greewood,1
1,midtown,brooklyn-downtown,1
1,greenwich village,little italy,11
1,yorkville,west village,2
1,upper west side,inwood,2
1,sunny side,soho,1
1,JFK,springfield gardens,1
1,lower east side,greenwich village,22
1,JFK,financial district,5
1,little italy,chinatown,2
1,north sutton area,garment district,2
1,clinton,greenwich village,12
1,midtown,north sutton area,18
1,inwood,washington heights,1
1,JFK,JFK,4
1,midtown,south bronx,1
1,hamilton heights,washington heights,1
1,brooklyn-downtown,midtown,1
1,little italy,tribeca,2
1,upper east side,chinatown,1
1,lower east side,JFK,2
1,battery park,little italy,4
1,battery park,gramercy,9
1,murray hill,murray hill,18
1,west village,astoria-long island city,2
1,tribeca,astoria-long island city,1
1,brooklyn-downtown,brownsville,1
1,upper east side,inwood,1
1,soho,battery park,7
1,battery park,sunny side,1
1,LGA,williamsburg,4
1,gramercy,gravesend-sheepshead bay,1
1,clinton,garment district,28
1,LGA,sunny side,5
1,greenwich village,williamsburg,7
1,financial district,upper west side,6
1,upper west side,morningside heights,26
1,chinatown,financial district,2
1,lower east side,borough park,1
1,west village,morningside heights,2
1,bushwick,east village,1
1,financial district,greenwich village,15
1,financial district,lower east side,12
1,north sutton area,north sutton area,2
1,JFK,east village,2
1,astoria-long island city,astoria-long island city,10
1,LGA,astoria-long island city,5
1,soho,midtown,17
1,clinton,midtown,124
1,harlem,hamilton heights,6
1,midtown,hamilton heights,1
1,tribeca,chinatown,5
1,tremont,tremont,1
1,west village,hamilton heights,1
1,midtown,greenwich village,46
1,lower east side,chelsea,13
1,JFK,glendale,1
1,central park,chelsea,3
1,washington heights,washington heights,2
1,lower east side,west village,14
1,morningside heights,soho,1
1,upper west side,battery park,1
1,financial district,garment district,11
1,upper east side,tribeca,9
1,JFK,battery park,1
1,midtown,central park,14
1,upper east side,morningside heights,10
1,lower east side,cobble hill,1
1,chelsea,south bronx,1
1,little italy,park slope,1
1,LGA,LGA,2
1,carnegie hill,west village,2
1,murray hill,chinatown,7
1,sunny side,midtown,2
1,LGA,bedford-stuyvesant,2
1,harlem,midtown,1
1,central park,tribeca,1
1,JFK,chelsea,6
1,yorkville,hamilton heights,1
1,midtown,morningside heights,3
1,JFK,yorkville,3
1,carnegie hill,harlem,4
1,upper west side,JFK,6
1,carroll gardens,sunset park,1
1,lower east side,jackson height,1
1,carnegie hill,central park,3
1,gramercy,forest hills,1
1,little italy,east village,18
1,chelsea,tribeca,15
1,jackson height,jackson height,1
1,west village,financial district,5
1,clinton,chinatown,1
1,garment district,yorkville,1
1,lower east side,carroll gardens,1
1,midtown,little italy,11
1,east village,carroll gardens,3
1,midtown,inwood,1
1,murray hill,sunny side,1
1,morningside heights,garment district,1
1,harlem,LGA,1
1,LGA,carnegie hill,1
1,morningside heights,upper east side,5
1,murray hill,north sutton area,8
1,boerum hill,midtown,1
1,yorkville,greenwich village,1
1,west village,little italy,7
1,chinatown,gramercy,4
1,gramercy,boerum hill,1
1,chinatown,upper west side,1
1,gramercy,JFK,6
1,garment district,clinton,35
1,lower east side,tremont,1
1,boerum hill,lower east side,1
1,chelsea,financial district,9
1,chelsea,fort green,1
1,east harlem,yorkville,4
1,financial district,little italy,8
1,clinton,astoria-long island city,1
1,gramercy,little italy,11
1,financial district,upper east side,10
1,chelsea,midtown,77
1,little italy,greenwich village,9
1,clinton,financial district,4
1,LGA,chelsea,3
1,west village,carroll gardens,1
1,battery park,williamsburg,2
1,battery park,east harlem,1
1,LGA,borough park,1
1,murray hill,astoria-long island city,2
1,tribeca,tribeca,19
1,chelsea,cobble hill,2
1,woodside,williamsburg,1
1,greenwich village,chelsea,54
