rain,from,to,count
1,LGA,morningside heights,15
1,chelsea,chinatown,24
1,fort green,chelsea,3
1,LGA,east village,45
1,murray hill,east harlem,6
1,woodside,midtown,1
1,west village,LGA,3
1,yorkville,LGA,6
1,LGA,union port,1
1,battery park,battery park,24
1,little italy,boerum hill,4
1,kings bridge,fordham,1
1,JFK,high bridge,3
1,maspeth,garment district,1
1,east village,brooklyn-downtown,5
1,greenwich village,sunset park,2
1,gramercy,clinton,129
1,upper east side,north sutton area,260
1,battery park,east village,18
1,north sutton area,murray hill,81
1,JFK,laurelton,5
1,lower east side,williamsburg,23
1,LGA,canarsie,2
1,harlem,gramercy,8
1,west village,fort green,11
1,jackson height,chelsea,1
1,east village,LGA,14
1,boerum hill,williamsburg,1
1,east harlem,JFK,1
1,greewood,borough park,1
1,boerum hill,park slope,13
1,harlem,yorkville,12
1,murray hill,carnegie hill,23
1,carnegie hill,park slope,1
1,washington heights,JFK,1
1,tribeca,morningside heights,2
1,chelsea,boerum hill,1
1,chinatown,brooklyn-downtown,2
1,little italy,garment district,47
1,harlem,garment district,1
1,harlem,east harlem,25
1,midtown,east brooklyn,2
1,midtown,parkchester,2
1,west village,north sutton area,3
1,carroll gardens,east village,1
1,financial district,battery park,80
1,tribeca,williamsburg,19
1,north sutton area,bay ridge,1
1,williamsburg,brooklyn-downtown,2
1,clinton,sunny side,2
1,little italy,mapleton-flatlands,1
1,gramercy,south bronx,1
1,north sutton area,JFK,4
1,upper west side,LGA,59
1,upper west side,chelsea,159
1,yorkville,mott haven,1
1,yorkville,east harlem,36
1,JFK,inwood,1
1,mapleton-flatlands,greewood,1
1,midtown,mapleton-flatlands,3
1,park slope,borough park,2
1,williams bridge,fordham,1
1,harlem,upper east side,19
1,upper west side,bay ridge,1
1,chinatown,fort green,6
1,brooklyn-downtown,chelsea,1
1,williamsburg,ridgewood,2
1,greenwich village,central park,19
1,upper east side,union port,1
1,garment district,east brooklyn,2
1,greenwich village,brooklyn-downtown,5
1,midtown,tremont,1
1,financial district,carroll gardens,9
1,battery park,JFK,12
1,chelsea,upper west side,185
1,clinton,east brooklyn,1
1,yorkville,chelsea,8
1,clinton,brooklyn-downtown,1
1,midtown,spuyten duyvil,1
1,midtown,LGA,170
1,morningside heights,upper west side,112
1,JFK,dyker heights,2
1,garment district,upper west side,251
1,lower east side,carnegie hill,2
1,chelsea,central park,28
1,LGA,battery park,18
1,east village,boerum hill,3
1,gramercy,upper east side,560
1,murray hill,morningside heights,3
1,LGA,country club,5
1,upper east side,south bronx,4
1,gramercy,greewood,1
1,park slope,brooklyn-downtown,2
1,midtown,forest hills,8
1,little italy,brooklyn-downtown,3
1,morningside heights,hamilton heights,7
1,financial district,park slope,12
1,upper west side,middle village,1
1,midtown,williamsburg,28
1,astoria-long island city,murray hill,4
1,JFK,carnegie hill,6
1,LGA,inwood,6
1,upper east side,woodside,7
1,upper west side,upper west side,3034
1,yorkville,astoria-long island city,2
1,murray hill,park slope,5
1,morningside heights,chelsea,10
1,JFK,south bronx,2
1,clinton,hamilton heights,3
1,bedford-stuyvesant,carroll gardens,1
1,brooklyn-downtown,carroll gardens,7
1,north sutton area,midtown,263
1,sunny side,JFK,2
1,garment district,east village,118
1,LGA,clinton,35
1,tribeca,cobble hill,5
1,carroll gardens,soho,2
1,morris park,throggs neck,1
1,glendale,glendale,1
1,JFK,fordham,1
1,gramercy,parkchester,2
1,garment district,astoria-long island city,13
1,west village,lower east side,39
1,chelsea,morningside heights,11
1,east harlem,east harlem,34
1,financial district,forest hills,1
1,murray hill,forest hills,3
1,LGA,east harlem,16
1,upper east side,jackson height,7
1,murray hill,brooklyn-downtown,1
1,gramercy,park slope,18
1,murray hill,bedford-stuyvesant,2
1,jamaica,midtown,7
1,morningside heights,clinton,2
1,brooklyn-downtown,brooklyn-downtown,4
1,upper west side,bedford-stuyvesant,3
1,yorkville,chinatown,1
1,harlem,hamilton heights,13
1,murray hill,chelsea,218
1,tribeca,sunny side,1
1,chelsea,carroll gardens,7
1,carnegie hill,LGA,2
1,financial district,JFK,23
1,battery park,morningside heights,1
1,sunny side,jackson height,2
1,upper east side,morris park,1
1,soho,cobble hill,8
1,JFK,bedford park,2
1,JFK,springfield gardens,8
1,upper east side,maspeth,3
1,hamilton heights,morningside heights,15
1,murray hill,JFK,33
1,LGA,throggs neck,2
1,clinton,greenwich village,64
1,JFK,brownsville,9
1,brooklyn-downtown,jamaica,1
1,forest hills,ridgewood,1
1,cobble hill,tribeca,2
1,upper east side,chinatown,6
1,battery park,gramercy,41
1,tribeca,astoria-long island city,4
1,north sutton area,clinton,11
1,LGA,greenwich village,38
1,LGA,sunny side,24
1,washington heights,chelsea,1
1,north sutton area,north sutton area,7
1,astoria-long island city,astoria-long island city,98
1,upper west side,mott haven,2
1,east harlem,park slope,1
1,park slope,bedford-stuyvesant,1
1,upper east side,morris heights,1
1,central park,chelsea,26
1,east village,morningside heights,1
1,soho,midtown,153
1,midtown,central park,468
1,LGA,williams bridge,3
1,little italy,park slope,2
1,chelsea,fort green,21
1,bushwick,ridgewood,1
1,garment district,bushwick,6
1,murray hill,yorkville,13
1,morris heights,mott haven,1
1,mott haven,greenwich village,2
1,LGA,upper west side,154
1,chelsea,tribeca,97
1,springfield gardens,upper west side,1
1,gramercy,tremont,1
1,carroll gardens,bay ridge,1
1,lower east side,LGA,5
1,upper west side,carroll gardens,2
1,morningside heights,garment district,6
1,williamsburg,JFK,2
1,greenwich village,dyker heights,1
1,inwood,inwood,3
1,battery park,brooklyn-downtown,5
1,chinatown,upper west side,1
1,murray hill,woodhaven-richmond hill,1
1,LGA,jamaica,14
1,financial district,upper east side,112
1,clinton,financial district,43
1,LGA,borough park,7
1,little italy,carnegie hill,2
1,JFK,utopia,8
1,morningside heights,midtown,27
1,financial district,central park,7
1,dyker heights,sunset park,1
1,greenwich village,LGA,16
1,chinatown,tribeca,11
1,upper west side,south bronx,5
1,LGA,wakefield-williamsbridge,1
1,upper west side,spuyten duyvil,4
1,east harlem,north sutton area,2
1,upper east side,middle village,2
1,midtown,astoria-long island city,38
1,upper west side,garment district,161
1,lower east side,garment district,33
1,brooklyn-downtown,greenwich village,2
1,upper east side,sunny side,25
1,high bridge,mott haven,1
1,upper east side,brooklyn-downtown,4
1,boerum hill,east village,2
1,lower east side,kwq gardens,1
1,carroll gardens,greewood,1
1,financial district,LGA,14
1,carnegie hill,fort green,1
1,midtown,chinatown,38
1,clinton,east harlem,2
1,tribeca,little italy,32
1,JFK,tribeca,3
1,upper west side,harlem,200
1,upper west side,woodhaven-richmond hill,1
1,williamsburg,east village,10
1,soho,ridgewood,1
1,midtown,boerum hill,5
1,fort green,brooklyn-downtown,2
1,south bronx,morris heights,1
1,gramercy,flushing,2
1,LGA,bushwick,22
1,LGA,kings bridge,5
1,the rockaways,the rockaways,1
1,midtown,williams bridge,1
1,battery park,lower east side,23
1,woodside,jackson height,2
1,financial district,borough park,2
1,upper west side,east harlem,69
1,east village,central park,10
1,gramercy,jackson height,3
1,midtown,borough park,5
1,garment district,tribeca,43
1,financial district,harlem,5
1,bedford-stuyvesant,fort green,1
1,chinatown,boerum hill,2
1,clinton,north sutton area,5
1,west village,clinton,39
1,gramercy,morningside heights,8
1,midtown,battery park,148
1,garment district,hamilton heights,9
1,midtown,murray hill,612
1,murray hill,boerum hill,3
1,garment district,gramercy,452
1,clinton,carnegie hill,8
1,tribeca,north sutton area,1
1,clearview,clearview,1
1,north sutton area,west village,3
1,battery park,fort green,5
1,chinatown,little italy,3
1,greenwich village,upper west side,76
1,chelsea,upper east side,244
1,murray hill,gravesend-sheepshead bay,1
1,east village,north sutton area,14
1,lower east side,bay ridge,1
1,east harlem,midtown,1
1,morningside heights,harlem,30
1,harlem,soho,1
1,upper west side,lower east side,26
1,murray hill,greenwich village,148
1,tribeca,upper west side,18
1,central park,north sutton area,8
1,greenwich village,morris heights,1
1,kwq gardens,jackson height,1
1,midtown,throggs neck,1
1,upper west side,tribeca,18
1,upper east side,east harlem,195
1,murray hill,morris park,1
1,lower east side,upper east side,35
1,soho,baychester,1
1,woodside,upper east side,1
1,east village,carnegie hill,5
1,woodside,woodside,10
1,greenwich village,financial district,76
1,LGA,springfield gardens,2
1,boerum hill,cobble hill,2
1,gramercy,LGA,48
1,LGA,Auburndale,7
1,upper east side,williamsburg,19
1,brooklyn-downtown,garment district,1
1,washington heights,inwood,2
1,soho,fort green,9
1,north sutton area,carnegie hill,17
1,woodside,bushwick,1
1,LGA,cobble hill,12
1,garment district,williamsburg,21
1,garment district,clinton,261
1,gramercy,garment district,531
1,jackson height,gramercy,1
1,JFK,glendale,4
1,tribeca,fort green,19
1,JFK,greewood,4
1,williamsburg,williamsburg,23
1,JFK,woodside,6
1,fort green,sunny side,1
1,central park,central park,109
1,battery park,chinatown,8
1,yorkville,morningside heights,6
1,forest hills,jamaica,1
1,LGA,JFK,40
1,jamaica,central park,1
1,jackson height,jackson height,12
1,upper west side,fort green,1
1,bensonhurst,midtown,2
1,gramercy,borough park,2
1,tribeca,gramercy,76
1,lower east side,murray hill,30
1,upper west side,gravesend-sheepshead bay,2
1,yorkville,JFK,2
1,lower east side,east village,118
1,LGA,harlem,48
1,upper west side,east village,16
1,LGA,park slope,36
1,JFK,murray hill,62
1,williamsburg,bedford-stuyvesant,3
1,carroll gardens,bedford-stuyvesant,4
1,north sutton area,upper west side,46
1,tribeca,financial district,99
1,greenwich village,bedford-stuyvesant,5
1,north sutton area,lower east side,9
1,east harlem,LGA,2
1,lower east side,saintalbans,2
1,LGA,bay ridge,5
1,financial district,bedford-stuyvesant,7
1,upper west side,north sutton area,34
1,woodside,gramercy,1
1,woodside,yorkville,1
1,soho,morningside heights,2
1,forest hills,JFK,1
1,yorkville,soho,2
1,north sutton area,sunny side,12
1,midtown,jackson height,13
1,clinton,fort green,2
1,east village,financial district,44
1,north sutton area,central park,10
1,garment district,south bronx,2
1,mott haven,garment district,2
1,flushing,LGA,1
1,financial district,financial district,156
1,woodside,Auburndale,1
1,chelsea,bay ridge,3
1,lower east side,park slope,3
1,garment district,morris heights,1
1,LGA,kwq gardens,8
1,park slope,mapleton-flatlands,1
1,JFK,brooklyn-downtown,9
1,greenwich village,greenwich village,303
1,JFK,canarsie,17
1,yorkville,gramercy,6
1,chelsea,carnegie hill,15
1,murray hill,financial district,92
1,central park,greenwich village,2
1,utopia,kwq gardens,1
1,north sutton area,upper east side,272
1,east harlem,central park,2
1,murray hill,kings bridge,1
1,north sutton area,soho,10
1,chinatown,clinton,5
1,lower east side,midtown,69
1,battery park,central park,10
1,chelsea,brooklyn-downtown,6
1,fort green,upper east side,3
1,upper east side,park slope,18
1,chelsea,little italy,50
1,garment district,boerum hill,4
1,yorkville,tribeca,1
1,east village,greewood,2
1,north sutton area,washington heights,2
1,JFK,union port,2
1,gravesend-sheepshead bay,gravesend-sheepshead bay,3
1,chinatown,carroll gardens,4
1,upper east side,soundview,4
1,east village,gramercy,329
1,clinton,clinton,178
1,soho,yorkville,2
1,LGA,forest hills,21
1,chinatown,lower east side,14
1,chelsea,lower east side,102
1,east harlem,financial district,2
1,little italy,lower east side,44
1,lower east side,gramercy,99
1,garment district,garment district,270
1,gramercy,battery park,61
1,upper west side,greenwich village,58
1,clinton,washington heights,10
1,financial district,jackson height,1
1,LGA,midtown,242
1,JFK,sunny side,23
1,carnegie hill,soho,5
1,fort green,JFK,3
1,LGA,tribeca,16
1,sunny side,washington heights,1
1,battery park,tribeca,87
1,central park,harlem,29
1,brooklyn-downtown,bay ridge,2
1,yorkville,murray hill,4
1,east village,bushwick,1
1,yorkville,lower east side,2
1,east village,sunny side,2
1,gramercy,financial district,151
1,soho,upper east side,42
1,financial district,morningside heights,2
1,JFK,woodhaven-richmond hill,9
1,midtown,yorkville,93
1,garment district,dyker heights,1
1,north sutton area,little italy,2
1,soho,sunset park,1
1,financial district,astoria-long island city,2
1,garment district,greenwich village,207
1,midtown,mott haven,8
1,midtown,brownsville,1
1,soho,JFK,5
1,astoria-long island city,sunny side,11
1,east harlem,garment district,4
1,east village,yorkville,5
1,LGA,fordham,1
1,upper east side,cobble hill,2
1,battery park,west village,32
1,carnegie hill,carnegie hill,38
1,upper east side,gramercy,532
1,upper east side,JFK,68
1,hamilton heights,harlem,7
1,garment district,financial district,134
1,utopia,financial district,1
1,astoria-long island city,east village,4
1,gramercy,maspeth,2
1,chelsea,williamsburg,15
1,williamsburg,midtown,3
1,fort green,upper west side,1
1,carnegie hill,morningside heights,13
1,upper east side,east village,116
1,gramercy,williamsburg,54
1,lower east side,tribeca,28
1,williamsburg,harlem,1
1,upper west side,jackson height,3
1,east village,washington heights,2
1,gramercy,bedford-stuyvesant,7
1,midtown,upper east side,2723
1,harlem,north sutton area,1
1,carnegie hill,greenwich village,7
1,soho,chinatown,21
1,upper east side,university heights,1
1,astoria-long island city,carnegie hill,1
1,central park,battery park,5
1,astoria-long island city,harlem,2
1,washington heights,east harlem,1
1,brooklyn-downtown,soho,6
1,mott haven,mott haven,2
1,sunset park,sunset park,1
1,murray hill,harlem,4
1,gramercy,upper west side,161
1,bay ridge,bay ridge,1
1,murray hill,little italy,14
1,harlem,murray hill,2
1,chelsea,maspeth,1
1,upper west side,washington heights,81
1,battery park,north sutton area,1
1,lower east side,central park,8
1,mott haven,university heights,1
1,park slope,garment district,2
1,upper west side,sunny side,9
1,tribeca,west village,73
1,forest hills,flushing,1
1,brooklyn-downtown,murray hill,1
1,washington heights,south bronx,2
1,murray hill,west village,56
1,JFK,north sutton area,7
1,central park,riverdale,2
1,clinton,lower east side,19
1,greenwich village,JFK,24
1,LGA,boerum hill,11
1,chinatown,bedford-stuyvesant,1
1,LGA,glendale,1
1,murray hill,williamsburg,12
1,yorkville,midtown,31
1,carroll gardens,gramercy,1
1,LGA,bedford-stuyvesant,39
1,carroll gardens,sunset park,2
1,midtown,inwood,9
1,glendale,kwq gardens,1
1,chinatown,west village,5
1,clinton,astoria-long island city,4
1,battery park,midtown,109
1,woodhaven-richmond hill,yorkville,1
1,carnegie hill,hamilton heights,4
1,gramercy,glendale,1
1,chinatown,upper east side,1
1,greenwich village,lower east side,122
1,clinton,inwood,1
1,central park,lower east side,3
1,central park,midtown,327
1,upper east side,garment district,402
1,chinatown,JFK,1
1,financial district,fort green,14
1,yorkville,east village,3
1,hamilton heights,JFK,4
1,harlem,midtown,12
1,greenwich village,park slope,19
