1,east village,JFK,95
1,gramercy,lower east side,1685
1,JFK,east brooklyn,45
1,murray hill,tremont,2
1,battery park,yorkville,8
1,clinton,yorkville,91
1,tremont,harlem,1
1,west village,mariners harbor,1
1,bedford-stuyvesant,lower east side,4
1,financial district,tribeca,656
1,soho,utopia,2
1,LGA,queensboro hill,15
1,central park,ridgewood,3
1,greenwich village,soho,1455
1,carroll gardens,park slope,69
1,chelsea,washington heights,171
1,spuyten duyvil,spuyten duyvil,1
1,JFK,central park,74
1,mott haven,yorkville,5
1,upper west side,brooklyn-downtown,28
1,sunny side,murray hill,29
1,upper east side,carroll gardens,29
1,gravesend-sheepshead bay,canarsie,5
1,financial district,north sutton area,48
1,greenwich village,union port,1
1,brooklyn-downtown,park slope,19
1,williams bridge,bedford park,2
1,chelsea,astoria-long island city,256
1,soho,canarsie,5
1,jamaica,central park,1
1,yorkville,sunny side,10
1,carnegie hill,hunts point,1
1,flushing,woodside,1
1,east village,murray hill,920
1,parkchester,parkchester,2
1,yorkville,inwood,7
1,chinatown,greenwich village,125
1,midtown,prince's bay,1
1,little italy,east harlem,14
1,woodside,LGA,6
1,clinton,williamsburg,51
1,harlem,bushwick,1
1,cobble hill,carnegie hill,1
1,south bronx,south bronx,38
1,williamsburg,sunset park,1
1,boerum hill,clinton,2
1,west village,union port,2
1,little italy,fort green,82
1,cobble hill,bedford-stuyvesant,4
1,spuyten duyvil,east harlem,1
1,financial district,wakefield-williamsbridge,2
1,west village,soho,725
1,astoria-long island city,soundview,1
1,clinton,gramercy,1043
1,cobble hill,financial district,9
1,hamilton heights,central park,15
1,east harlem,mott haven,29
1,garment district,the rockaways,5
1,chinatown,morningside heights,3
1,chelsea,forest hills,57
1,fort green,bay ridge,11
1,greewood,fort green,4
1,yorkville,hunts point,1
1,greenwich village,washington heights,92
1,north sutton area,morris heights,1
1,mott haven,east village,1
1,east harlem,tremont,9
1,LGA,upper east side,616
1,financial district,springfield gardens,1
1,murray hill,oakwood,1
1,bushwick,mott haven,1
1,tribeca,inwood,7
1,high bridge,washington heights,9
1,mapleton-flatlands,upper west side,1
1,midtown,lower east side,1067
1,west village,kings bridge,4
1,garment district,country club,1
1,east village,brownsville,3
1,park slope,dyker heights,1
1,lower east side,flushing,1
1,garment district,chinatown,92
1,JFK,riverdale,11
1,boerum hill,sunset park,6
1,fort green,carroll gardens,29
1,battery park,soundview,1
1,greenwich village,inwood,21
1,university heights,high bridge,1
1,soho,murray hill,309
1,bedford-stuyvesant,sunset park,3
1,astoria-long island city,washington heights,15
1,inwood,fordham,4
1,upper east side,bushwick,37
1,clinton,university heights,7
1,greenwich village,jackson height,45
1,upper east side,queensboro hill,5
1,hamilton heights,bedford-stuyvesant,1
1,boerum hill,tribeca,4
1,chelsea,sunny side,148
1,greenwich village,boerum hill,64
1,chelsea,JFK,157
1,garment district,hamilton heights,64
1,financial district,woodside,6
1,sunny side,middle village,2
1,utopia,greenwich village,1
1,upper west side,gramercy,1213
1,upper west side,carnegie hill,1207
1,upper east side,parkchester,13
1,washington heights,boerum hill,1
1,west village,utopia,1
1,murray hill,westleigh-castleton,1
1,washington heights,sunny side,2
1,hamilton heights,clinton,19
1,hamilton heights,lower east side,3
1,north sutton area,throggs neck,3
1,midtown,flushing,23
1,central park,inwood,4
1,murray hill,Auburndale,1
1,south bronx,hamilton heights,2
1,soho,spuyten duyvil,3
1,clinton,morningside heights,67
1,morningside heights,south bronx,8
1,fort green,financial district,6
1,astoria-long island city,JFK,22
1,chelsea,ridgewood,17
1,harlem,fort green,2
1,brooklyn-downtown,union port,1
1,clinton,fordham,4
1,williams bridge,mott haven,1
1,LGA,morris park,14
1,upper west side,woodhaven-richmond hill,1
1,east harlem,bushwick,3
1,chelsea,murray hill,1469
1,astoria-long island city,bedford-stuyvesant,19
1,ridgewood,bedford-stuyvesant,2
1,east village,borough park,24
1,utopia,utopia,19
1,soho,central park,41
1,flushing,flushing,17
1,JFK,gravesend-sheepshead bay,76
1,little italy,soho,236
1,high bridge,astoria-long island city,1
