temp,from,to,count
1,clinton,LGA,186
1,woodside,mott haven,1
1,corona,saintalbans,1
1,financial district,port richmond,1
1,astoria-long island city,hamilton heights,3
1,astoria-long island city,midtown,233
1,springfield gardens,inwood,1
1,mott haven,upper west side,2
1,jackson height,morris heights,1
1,midtown,clinton,3567
1,upper west side,west village,146
1,little italy,williamsburg,74
1,gramercy,utopia,8
1,gramercy,carroll gardens,39
1,LGA,riverdale,8
1,upper east side,little neck,1
1,east village,bay ridge,13
1,inwood,morningside heights,1
1,jamaica,kwq gardens,1
1,bedford-stuyvesant,the rockaways,1
1,chelsea,queensboro hill,2
1,battery park,cobble hill,3
1,harlem,union port,1
1,chelsea,east brooklyn,2
1,bushwick,bedford-stuyvesant,35
1,sunset park,murray hill,1
1,east village,flushing,4
1,cobble hill,fort green,10
1,greewood,boerum hill,4
1,williamsburg,garment district,19
1,kings bridge,inwood,1
1,williamsburg,gramercy,53
1,gramercy,forest hills,47
1,mott haven,williams bridge,4
1,greenwich village,morningside heights,66
1,bushwick,greewood,1
1,carnegie hill,east harlem,72
1,tribeca,bushwick,19
1,carnegie hill,JFK,19
1,sunny side,bedford-stuyvesant,7
1,harlem,astoria-long island city,14
1,forest hills,sunny side,2
1,tribeca,middle village,2
1,brooklyn-downtown,gramercy,33
1,williamsburg,glendale,8
1,sunny side,mott haven,1
1,chinatown,mapleton-flatlands,4
1,fort green,carroll gardens,25
1,morningside heights,west village,8
1,jackson height,little neck,2
1,morningside heights,bedford-stuyvesant,1
1,chelsea,kwq gardens,9
1,mott haven,harlem,28
1,chelsea,clinton,1441
1,woodhaven-richmond hill,LGA,2
1,west village,gravesend-sheepshead bay,5
1,soho,upper west side,116
1,west village,yorkville,27
1,chinatown,carnegie hill,1
1,east village,woodside,12
1,gramercy,JFK,262
1,chinatown,washington heights,11
1,fort green,park slope,37
1,lower east side,ridgewood,25
1,soho,park slope,51
1,yorkville,riverdale,1
1,west village,bushwick,61
1,little italy,west village,131
1,garment district,harlem,140
1,murray hill,fordham,4
1,upper east side,fort green,38
1,jamaica,harlem,1
1,north sutton area,hamilton heights,12
1,gramercy,hunts point,3
1,sunny side,forest hills,7
1,JFK,the rockaways,12
1,financial district,sunset park,9
1,gramercy,bedford park,2
1,gramercy,little neck,3
1,greenwich village,garment district,747
1,chelsea,canarsie,2
1,bedford-stuyvesant,astoria-long island city,1
1,harlem,baychester,2
1,west village,chinatown,31
1,bedford-stuyvesant,gravesend-sheepshead bay,3
1,garment district,glendale,7
1,woodside,murray hill,5
1,midtown,westleigh-castleton,1
1,park slope,gravesend-sheepshead bay,1
1,chinatown,battery park,7
1,morningside heights,soho,7
1,midtown,middle village,9
1,clinton,tribeca,153
1,inwood,woodlawn-nordwood,2
1,brooklyn-downtown,upper west side,9
1,parkchester,canarsie,2
1,yorkville,yorkville,267
1,clinton,central park,79
