temp,from,to,count
2,garment district,yorkville,1
2,greenwich village,lower east side,1
2,chelsea,gramercy,1
2,chelsea,clinton,1
2,clinton,garment district,1
2,upper east side,west village,1
2,astoria-long island city,astoria-long island city,24
2,gramercy,upper east side,1
2,gramercy,financial district,1
2,greenwich village,west village,2
2,murray hill,upper east side,2
2,west village,garment district,1
2,upper east side,upper east side,4
2,gramercy,williamsburg,2
2,upper west side,upper east side,3
2,gramercy,gramercy,1
2,upper west side,murray hill,2
2,garment district,clinton,2
2,tribeca,midtown,2
2,central park,chelsea,1
2,midtown,upper east side,1
2,upper east side,murray hill,1
2,murray hill,gramercy,3
2,gramercy,garment district,2
2,upper west side,williamsburg,1
2,murray hill,garment district,1
2,chelsea,midtown,1
2,gramercy,murray hill,2
2,lower east side,midtown,1
2,LGA,boerum hill,1
2,garment district,gramercy,4
2,upper west side,carnegie hill,2
2,gramercy,clinton,1
2,midtown,midtown,1
2,murray hill,midtown,4
2,lower east side,garment district,1
2,midtown,gramercy,2
2,garment district,garment district,1
2,west village,greenwich village,1
2,midtown,JFK,1
2,clinton,midtown,2
2,gramercy,lower east side,1
2,gramercy,chelsea,1
2,west village,chelsea,1
2,clinton,financial district,1
2,upper east side,lower east side,1
2,upper west side,midtown,1
2,woodside,woodside,1
2,yorkville,upper west side,1
2,upper west side,upper west side,5
2,chelsea,little italy,2
2,garment district,chelsea,1
2,upper east side,gramercy,2
2,gramercy,west village,1
2,clinton,murray hill,1
2,upper east side,midtown,1
2,east village,tribeca,2
2,midtown,clinton,2
2,carnegie hill,central park,3
2,tribeca,west village,1
2,garment district,upper west side,1
2,midtown,financial district,1
2,central park,upper west side,1
2,midtown,upper west side,2
2,upper west side,clinton,2
2,LGA,midtown,2
2,upper west side,washington heights,1
2,carnegie hill,murray hill,2
2,little italy,chelsea,1
2,chelsea,murray hill,2
2,LGA,morningside heights,9
2,chelsea,chinatown,9
2,fort green,chelsea,3
2,LGA,east village,29
2,murray hill,east harlem,3
2,woodside,midtown,1
2,west village,LGA,11
2,yorkville,LGA,2
2,LGA,union port,1
2,battery park,battery park,12
2,JFK,high bridge,1
2,east village,brooklyn-downtown,8
2,washington heights,tribeca,1
2,gramercy,clinton,101
2,upper east side,north sutton area,148
2,east harlem,throggs neck,1
2,battery park,east village,30
2,north sutton area,murray hill,38
2,JFK,laurelton,2
2,lower east side,williamsburg,36
2,LGA,canarsie,2
2,flushing,murray hill,1
2,west village,fort green,3
2,east village,LGA,13
2,boerum hill,williamsburg,6
2,clinton,union port,1
2,harlem,fordham,1
2,boerum hill,park slope,4
2,harlem,yorkville,17
2,sunny side,cobble hill,1
2,murray hill,carnegie hill,7
2,east village,kwq gardens,1
2,greenwich village,bay ridge,1
2,chelsea,boerum hill,2
2,chinatown,brooklyn-downtown,2
2,little italy,garment district,30
2,harlem,garment district,1
2,harlem,east harlem,26
2,upper west side,south bronx,2
2,west village,north sutton area,2
2,carroll gardens,east village,2
2,east village,forest hills,1
2,financial district,battery park,57
2,east harlem,tribeca,1
2,tribeca,williamsburg,9
2,williamsburg,brooklyn-downtown,4
2,south bronx,east harlem,1
2,clinton,sunny side,6
2,gramercy,south bronx,2
2,woodside,bedford-stuyvesant,1
2,north sutton area,JFK,1
2,fordham,woodlawn-nordwood,1
2,upper west side,LGA,32
2,upper west side,chelsea,128
