temp,from,to,count
2,upper east side,garment district,54
2,garment district,astoria-long island city,3
2,west village,lower east side,6
2,chelsea,morningside heights,3
2,east harlem,east harlem,6
2,murray hill,financial district,7
2,greenwich village,murray hill,15
2,fort green,fort green,2
2,chelsea,harlem,2
2,LGA,east harlem,1
2,upper west side,carroll gardens,1
2,central park,yorkville,4
2,east village,east village,26
2,gramercy,bay ridge,2
2,LGA,morris heights,2
2,murray hill,bedford-stuyvesant,1
2,jamaica,midtown,2
2,gramercy,fort green,3
2,murray hill,lower east side,2
2,little italy,clinton,2
2,JFK,forest hills,6
2,brooklyn-downtown,fort green,1
2,east harlem,mott haven,1
2,financial district,murray hill,17
2,sunny side,maspeth,1
2,sunset park,borough park,1
2,brooklyn-downtown,brooklyn-downtown,3
2,woodside,jackson height,1
2,battery park,chinatown,1
2,midtown,williamsburg,4
2,upper east side,lower east side,8
2,tribeca,brooklyn-downtown,1
2,east village,upper west side,6
2,morningside heights,carnegie hill,2
2,upper west side,astoria-long island city,1
2,greenwich village,carnegie hill,3
2,central park,greenwich village,1
2,central park,hamilton heights,1
2,murray hill,chelsea,22
2,midtown,upper west side,175
2,garment district,west village,13
2,east village,little italy,5
2,financial district,williamsburg,1
2,astoria-long island city,garment district,2
2,chelsea,carroll gardens,1
2,central park,west village,1
2,carnegie hill,LGA,3
2,JFK,upper east side,27
2,JFK,jackson height,5
2,financial district,JFK,5
2,midtown,hamilton heights,2
2,west village,midtown,20
2,JFK,queensboro hill,1
2,carnegie hill,gramercy,1
2,upper east side,battery park,4
2,north sutton area,little italy,1
2,gramercy,east village,41
2,soho,central park,1
2,soho,cobble hill,1
2,clinton,little italy,3
2,west village,soho,22
2,carnegie hill,east harlem,2
2,chelsea,bedford-stuyvesant,2
2,midtown,brooklyn-downtown,2
2,greenwich village,little italy,3
2,upper west side,inwood,2
2,upper east side,flushing,1
2,JFK,springfield gardens,2
2,lower east side,greenwich village,10
2,yorkville,morningside heights,2
2,JFK,financial district,8
2,park slope,carroll gardens,1
2,murray hill,JFK,13
2,north sutton area,garment district,3
2,clinton,greenwich village,9
2,JFK,brownsville,2
2,chinatown,jamaica,1
2,midtown,north sutton area,26
2,inwood,washington heights,1
2,JFK,JFK,25
2,hamilton heights,washington heights,2
2,little italy,tribeca,1
2,upper east side,chinatown,1
2,lower east side,JFK,3
2,williamsburg,LGA,1
2,lower east side,boerum hill,2
2,battery park,gramercy,6
2,murray hill,murray hill,19
2,west village,mapleton-flatlands,1
