YR--MODAHRMN,MAX,MIN,PCP01,SD
201501062251,***,***,*****,**
201501062351,***,***,0,**
201501070000,***,***,*****,**
201501070051,***,***,*****,**
201501070151,***,***,0,**
201501070249,23,19,0,**
201501070251,23,***,*****,0
201501070300,22,21,0,1
201501070318,22,20,*****,1
201501070351,***,***,0,**
201501070451,***,***,0,**
201501070459,***,***,0,**
201501070551,***,***,*****,**
201501070600,***,***,0,**
201501070651,***,***,0,**
201501070751,23,21,0,1
201501070851,23,21,*****,1
201501070900,***,***,0,**
201501070951,***,***,0,**
201501071051,***,***,0,**
201501071151,***,***,*****,**
201501071200,***,***,0,**
201501071251,***,***,0,**
201501071351,25,22,0,1
201501071451,25,21,*****,1
201501071500,***,***,0,**
201501071551,***,***,0,**
201501071651,***,***,0,**
201501071751,***,***,*****,**
201501071800,***,***,0,**
201501071851,***,***,0,**
201501071951,25,15,0,**
201501072051,25,15,*****,**
201501072100,***,***,0,**
201501072151,***,***,0,**
201501072251,***,***,0,**
201501072351,***,***,*****,**
201501080000,***,***,0,**
201501080051,25,10,0,**
201501080151,25,***,*****,1
201501080251,15,9,0,**
201501080300,23,9,*****,**
201501080351,***,***,0,**
201501080451,***,***,0,**
201501080459,***,***,0,**
201501080551,***,***,*****,**
201501080600,***,***,0,**
201501080651,***,***,0,**
201501080751,10,8,0,**
201501080851,25,8,*****,**
201501080900,***,***,0,**
201501080951,***,***,0,**
201501081051,***,***,0,**
201501081151,***,***,*****,**
201501081200,***,***,0,**
201501081251,***,***,0,**
201501081351,21,9,0,**
201501081451,21,9,*****,**
201501081500,***,***,0,**
201501081551,***,***,0,**
201501081651,***,***,0,**
201501081751,***,***,*****,**
201501081800,***,***,0,**
201501081851,***,***,0,**
201501081951,22,19,0,**
201501082051,22,8,*****,**
201501082100,***,***,0,**
201501082151,***,***,0,**
201501082251,***,***,0,**
201501082351,***,***,*****,**
201501090000,***,***,0,**
201501090051,22,8,0,**
201501090151,22,***,*****,0
201501090251,22,18,0,**
201501090300,22,8,*****,**
201501090351,***,***,0,**
201501090451,***,***,0,**
201501090459,***,***,0,**
201501090551,***,***,*****,**
201501090600,***,***,0,**
201501090651,***,***,0,**
201501090751,29,22,0,**
201501090851,***,19,*****,**
201501090900,***,***,0,**
201501090951,***,***,0,**
201501091051,***,***,0,**
201501091151,***,***,0.02,**
201501091200,***,***,0.03,**
201501091211,***,***,0,**
201501091216,***,***,0,**
201501091221,***,***,0.02,**
201501091251,***,***,*****,**
201501091351,***,***,0,**
201501091402,***,***,0,**
201501091420,32,***,0,1
201501091451,32,19,*****,1
201501091500,***,***,0,**
201501091551,***,***,0,**
201501091651,***,***,0,**
201501091751,***,***,*****,**
201501091800,***,***,0,**
201501091851,***,***,0,**
201501091951,34,29,0,1
201501092051,34,22,*****,1
201501092100,***,***,0,**
201501092151,***,***,0,**
201501092251,***,***,0,**
201501092351,***,***,*****,**
201501100000,***,***,0,**
201501100051,34,21,0,**
201501100151,34,***,*****,0
201501100251,31,23,0,1
201501100300,31,22,*****,1
201501100351,***,***,0,**
201501100451,***,***,0,**
201501100459,***,***,0,**
201501100551,***,***,*****,**
201501100600,***,***,0,**
201501100651,***,***,0,**
201501100751,23,18,0,1
201501100851,34,18,*****,1
201501100900,***,***,0,**
201501100951,***,***,0,**
201501101051,***,***,0,**
201501101151,***,***,*****,**
201501101200,***,***,0,**
201501101251,***,***,0,**
201501101351,22,18,0,1
201501101451,23,18,*****,1
201501101500,***,***,0,**
201501101551,***,***,0,**
201501101651,***,***,0,**
201501101751,***,***,*****,**
201501101800,***,***,0,**
201501101851,***,***,0,**
201501101951,24,20,0,1
201501102051,24,18,*****,1
201501102100,***,***,0,**
201501102151,***,***,0,**
201501102251,***,***,0,**
201501102351,***,***,*****,**
201501110000,***,***,0,**
201501110051,24,18,0,**
201501110151,24,***,*****,1
201501110251,21,19,0,1
201501110300,23,18,*****,1
201501110351,***,***,0,**
201501110451,***,***,0,**
201501110459,***,***,0,**
201501110551,***,***,*****,**
201501110600,***,***,0,**
201501110651,***,***,0,**
201501110751,22,20,0,1
201501110851,24,19,*****,1
201501110900,***,***,0,**
201501110951,***,***,0,**
201501111051,***,***,0,**
201501111151,***,***,*****,**
201501111200,***,***,0,**
201501111251,***,***,0,**
201501111351,33,21,0,**
201501111451,33,20,*****,**
201501111500,***,***,0,**
201501111551,***,***,0,**
201501111651,***,***,0,**
201501111751,***,***,*****,**
201501111800,***,***,0,**
201501111851,***,***,0,**
201501111951,38,32,0,**
201501112051,38,20,*****,**
201501112100,***,***,0,**
201501112151,***,***,0,**
201501112251,***,***,0,**
201501112351,***,***,*****,**
201501120000,***,***,0,**
201501120051,38,20,0,**
201501120151,38,***,*****,1
201501120251,37,35,0,**
201501120300,37,20,*****,**
201501120351,***,***,0,**
201501120451,***,***,0,**
201501120459,***,***,0,T**
201501120551,***,***,*****,T**
201501120600,***,***,0,**
201501120651,***,***,0,**
201501120751,37,35,0,**
201501120851,38,35,*****,**
201501120900,***,***,*****,**
201501120951,***,***,0,**
201501121051,***,***,0,**
201501121151,***,***,0.01,**
201501121200,***,***,0,**
201501121236,***,***,0.06,**
201501121251,***,***,0.06,**
201501121338,***,***,*****,**
201501121351,***,***,0.04,**
201501121357,***,***,0.02,**
201501121442,***,***,0.02,**
201501121451,***,***,0.06,**
201501121500,***,***,*****,**
201501121551,38,34,0.1,**
201501121621,38,32,*****,**
201501121626,***,***,0.12,**
201501121651,***,***,0.2,**
201501121749,***,***,0.12,**
201501121751,***,***,0.08,**
201501121800,***,***,*****,**
201501121851,***,***,0.02,**
201501121951,***,***,0.02,**
201501122047,***,***,0,**
201501122051,***,***,0,**
201501122100,***,***,0,**
201501122133,***,***,0,**
201501122151,***,***,0,**
201501122217,39,36,0,**
201501122226,39,35,*****,**
201501122248,***,***,0,**
201501122251,***,***,0,**
201501122341,***,***,0,**
201501122351,***,***,*****,**
201501130000,***,***,0.01,**
201501130051,40,34,0,**
201501130151,40,***,*****,0
201501130251,40,37,0,**
201501130300,40,35,*****,**
201501130351,***,***,0,**
201501130451,***,***,0,**
201501130459,***,***,0,**
201501130551,***,***,*****,**
201501130600,***,***,0,**
201501130651,***,***,0,**
201501130751,37,32,0,**
201501130851,40,32,*****,**
201501130900,***,***,0,**
201501130951,***,***,0,**
201501131051,***,***,0,**
201501131151,***,***,*****,**
201501131200,***,***,0,**
201501131251,***,***,0,**
201501131351,32,26,0,**
201501131451,37,26,*****,**
201501131500,***,***,0,**
201501131551,***,***,0,**
201501131651,***,***,0,**
201501131751,***,***,*****,**
201501131800,***,***,0,**
201501131851,***,***,0,**
201501131951,27,21,0,**
201501132051,32,21,*****,**
201501132100,***,***,0,**
201501132151,***,***,0,**
201501132251,***,***,0,**
201501132351,***,***,*****,**
201501140000,***,***,0,**
201501140051,37,19,0,**
201501140151,37,***,*****,0
201501140251,21,19,0,**
201501140300,37,19,*****,**
201501140351,***,***,0,**
201501140451,***,***,0,**
201501140459,***,***,0,**
201501140551,***,***,*****,**
201501140600,***,***,0,**
201501140651,***,***,0,**
201501140751,20,19,0,**
201501140851,37,19,*****,**
201501140900,***,***,0,**
201501140951,***,***,0,**
201501141051,***,***,0,**
201501141151,***,***,*****,**
201501141200,***,***,*****,**
201501141251,***,***,0,**
201501141351,***,***,0,**
201501141451,***,***,*****,**
201501141500,32,20,0,**
201501141528,32,20,*****,**
201501141551,***,***,0,**
201501141651,***,***,0,**
201501141744,***,***,0,**
201501141751,***,***,*****,**
201501141800,***,***,0,**
201501141851,***,***,0,**
201501141951,33,31,0,**
201501142051,33,19,*****,**
201501142100,***,***,0,**
201501142151,***,***,0,**
201501142251,***,***,0,**
201501142351,***,***,*****,**
201501150000,***,***,0,**
201501150051,33,19,0,**
201501150151,33,***,*****,0
201501150251,32,29,0,**
201501150300,32,19,*****,**
201501150351,***,***,0,**
201501150451,***,***,0,**
201501150459,***,***,0,**
201501150551,***,***,*****,**
201501150600,***,***,0,**
201501150651,***,***,0,**
201501150751,30,27,0,**
201501150851,33,27,*****,**
201501150900,***,***,0,**
201501150951,***,***,0,**
201501151051,***,***,*****,**
201501151151,***,***,0,**
201501151200,***,***,*****,**
201501151251,***,***,0,**
201501151351,***,***,0,**
201501151424,34,28,0,**
201501151451,34,28,*****,**
201501151500,***,***,0,**
201501151551,***,***,0,**
201501151651,***,***,0,**
201501151751,***,***,*****,**
201501151800,***,***,0,**
201501151851,***,***,0,**
201501151951,35,31,0,**
201501152051,35,27,*****,**
201501152100,***,***,0,**
201501152151,***,***,0,**
201501152251,***,***,0,**
201501152351,***,***,*****,**
201501160000,***,***,0,**
201501160051,35,27,0,**
201501160151,35,***,*****,0
201501160251,32,30,0,**
201501160300,32,27,*****,**
201501160351,***,***,0,**
201501160451,***,***,0,**
201501160459,***,***,0,**
201501160551,***,***,*****,**
201501160600,***,***,0,**
201501160651,***,***,0,**
201501160751,32,30,0,**
201501160851,35,30,*****,**
201501160900,***,***,0,**
201501160951,***,***,0,**
201501161051,***,***,0,**
201501161151,***,***,*****,**
201501161200,***,***,0,**
201501161251,***,***,0,**
201501161351,44,31,0,**
201501161451,44,31,*****,**
201501161500,***,***,0,**
201501161551,***,***,0,**
201501161651,***,***,0,**
201501161751,***,***,*****,**
201501161800,***,***,0,**
201501161851,***,***,0,**
201501161951,45,30,0,**
201501162051,45,30,*****,**
201501162100,***,***,0,**
201501162151,***,***,0,**
201501162251,***,***,0,**
201501162351,***,***,*****,**
201501170000,***,***,0,**
201501170051,45,21,0,**
201501170151,45,***,*****,0
201501170251,30,20,0,**
201501170300,32,20,*****,**
201501170351,***,***,0,**
201501170451,***,***,0,**
201501170459,***,***,0,**
201501170551,***,***,*****,**
201501170600,***,***,0,**
201501170651,***,***,0,**
201501170751,20,18,0,**
201501170851,45,18,*****,**
201501170900,***,***,0,**
201501170951,***,***,0,**
201501171051,***,***,0,**
201501171151,***,***,*****,**
201501171200,***,***,0,**
201501171251,***,***,0,**
201501171351,27,18,0,**
201501171451,27,18,*****,**
201501171500,***,***,0,**
201501171551,***,***,0,**
201501171651,***,***,0,**
201501171751,***,***,*****,**
201501171800,***,***,0,**
201501171851,***,***,0,**
201501171951,30,26,0,**
201501172051,30,18,*****,**
201501172100,***,***,0,**
201501172151,***,***,0,**
201501172251,***,***,0,**
201501172351,***,***,*****,**
201501180000,***,***,0,**
201501180051,32,18,0,**
201501180151,32,***,*****,0
201501180251,32,29,0,**
201501180300,32,18,*****,**
201501180351,***,***,0,**
201501180451,***,***,0,**
201501180459,***,***,0,**
201501180551,***,***,*****,**
201501180600,***,***,0,**
201501180651,***,***,0,**
201501180751,***,***,0,**
201501180851,35,27,0,**
201501180900,***,28,*****,**
201501180951,***,***,0.01,**
201501181051,***,***,*****,**
201501181144,***,***,0.05,**
201501181151,***,***,0.02,**
201501181200,***,***,0.04,**
201501181251,***,***,*****,**
201501181349,***,***,*****,**
201501181351,***,***,0.14,**
201501181433,***,***,0.16,**
201501181451,***,***,0.22,**
201501181500,***,***,0.02,**
201501181549,***,***,0.19,**
201501181551,47,35,0.2,**
201501181632,47,26,*****,**
201501181651,***,***,0.06,**
201501181658,***,***,*****,**
201501181747,***,***,0.21,**
201501181751,***,***,0.01,**
201501181800,***,***,0.02,**
201501181811,***,***,0.05,**
201501181849,***,***,*****,**
201501181851,***,***,0.03,**
201501181853,***,***,0.01,**
201501181855,***,***,0.08,**
201501181921,***,***,0.31,**
201501181949,***,***,*****,**
201501181951,***,***,0.37,**
201501182011,***,***,*****,**
201501182022,***,***,*****,**
201501182048,***,***,0.16,**
201501182049,***,***,0.11,**
201501182051,47,41,0.07,**
201501182100,47,27,*****,**
201501182149,***,***,*****,**
201501182151,***,***,0,**
201501182251,***,***,0,**
201501182351,***,***,*****,**
201501190000,***,***,0,**
201501190049,***,***,0,**
201501190051,***,***,0.01,**
201501190120,***,***,0.01,**
201501190149,***,***,*****,**
201501190151,***,***,0,**
201501190202,47,27,0,**
201501190239,47,***,*****,0
